codice_comune,anno,totale_incidenti
1047,2023,5
1047,2024,8
1048,2001,11
1048,2002,10
1048,2003,9
1048,2004,11
1048,2005,10
1048,2006,13
1048,2007,14
1048,2008,4
1048,2009,11
1048,2010,8
1048,2011,7
1048,2012,11
1048,2013,15
1048,2014,6
1048,2015,6
1048,2016,13
1048,2017,6
1048,2018,9
1048,2019,6
1048,2020,4
1048,2021,9
1048,2022,9
1048,2023,9
1048,2024,5
1049,2001,4
1049,2002,0
1049,2003,0
1049,2004,3
1049,2005,2
1049,2006,3
1049,2007,2
1049,2008,2
1049,2009,0
1049,2010,3
1049,2011,1
1049,2012,1
1049,2013,2
1049,2014,1
1049,2015,0
1049,2016,1
1049,2017,0
1049,2018,1
1049,2019,1
1049,2020,1
1049,2021,0
1049,2022,2
1049,2023,2
1050,2001,0
1050,2002,0
1050,2003,0
1050,2004,7
1050,2005,3
1050,2006,2
1050,2007,0
1050,2008,6
1050,2009,4
1050,2010,5
1050,2011,5
1050,2012,6
1050,2013,3
1050,2014,4
1050,2015,15
1050,2016,4
1050,2017,2
1050,2018,3
1050,2019,0
1050,2020,2
1050,2021,1
1050,2022,4
1050,2023,4
1050,2024,2
1051,2001,16
1051,2002,16
1051,2003,7
1051,2004,11
1051,2005,10
1051,2006,9
1051,2007,9
1051,2008,9
1051,2009,21
1051,2010,10
1051,2011,9
1051,2012,10
1051,2013,8
1051,2014,12
1051,2015,8
1051,2016,13
1051,2017,6
1051,2018,10
1051,2019,10
1051,2020,3
1051,2021,7
1051,2022,6
1051,2023,4
1051,2024,6
1052,2001,0
1052,2002,0
1052,2003,0
1052,2004,0
1052,2005,0
1052,2006,0
1052,2007,0
1052,2008,0
1052,2009,1
1052,2010,0
1052,2011,0
1052,2012,0
1052,2013,0
1052,2014,0
1052,2015,0
1052,2016,2
1052,2017,0
1052,2018,0
1052,2019,0
1052,2020,0
1052,2021,0
1052,2022,0
1052,2023,1
1053,2001,3
1053,2002,0
1053,2003,1
1053,2004,1
1053,2005,0
1053,2006,1
1053,2007,0
1053,2008,1
1053,2009,0
1053,2010,1
1053,2011,1
1053,2012,0
1053,2013,1
1053,2014,0
1053,2015,1
1053,2016,1
1053,2017,0
1053,2018,0
1053,2019,0
1053,2020,0
1053,2021,3
1053,2022,0
1053,2023,1
1054,2001,0
1054,2002,0
1054,2003,0
1054,2004,0
1054,2005,0
1054,2006,0
1054,2007,0
1054,2008,0
1054,2009,1
1054,2010,0
1054,2011,0
1054,2012,1
1054,2013,1
1054,2014,0
1054,2015,0
1054,2016,0
1054,2017,1
1054,2018,1
1054,2019,0
1054,2020,0
1054,2021,0
1054,2022,2
1054,2023,3
1054,2024,2
1055,2001,3
1055,2002,7
1055,2003,3
1055,2004,6
1055,2005,4
1055,2006,1
1055,2007,5
1055,2008,2
1055,2009,1
1055,2010,3
1055,2011,3
1055,2012,6
1055,2013,1
1055,2014,4
1055,2015,4
1055,2016,6
1055,2017,9
1055,2018,5
1055,2019,8
1055,2020,4
1055,2021,2
1055,2022,4
1055,2023,6
1055,2024,3
1056,2001,2
1056,2002,2
1056,2003,0
1056,2004,4
1056,2005,0
1056,2006,1
1056,2007,0
1056,2008,2
1056,2009,1
1056,2010,2
1056,2011,0
1056,2012,3
1056,2013,0
1056,2014,0
1056,2015,0
1056,2016,1
1056,2017,4
1056,2018,1
1056,2019,3
1056,2020,2
1056,2021,1
1056,2022,0
1056,2023,0
1057,2001,2
1057,2002,2
1057,2003,3
1057,2004,3
1057,2005,2
1057,2006,0
1057,2007,5
1057,2008,1
1057,2009,1
1057,2010,3
1057,2011,3
1057,2012,3
1057,2013,0
1057,2014,1
1057,2015,1
1057,2016,4
1057,2017,2
1057,2018,2
1057,2019,2
1057,2020,2
1057,2021,0
1057,2022,0
1057,2023,2
1057,2024,4
1058,2001,20
1058,2002,11
1058,2003,12
1058,2004,14
1058,2005,20
1058,2006,16
1058,2007,19
1058,2008,13
1058,2009,20
1058,2010,24
1058,2011,20
1058,2012,23
1058,2013,18
1058,2014,13
1058,2015,24
1058,2016,17
1058,2017,18
1058,2018,13
1058,2019,21
1058,2020,15
1058,2021,12
1058,2022,8
1058,2023,15
1058,2024,9
1059,2001,61
1059,2002,68
1059,2003,59
1059,2004,10
1059,2005,61
1059,2006,65
1059,2007,80
1059,2008,77
1059,2009,69
1059,2010,58
1059,2011,76
1059,2012,66
1059,2013,77
1059,2014,62
1059,2015,64
1059,2016,68
1059,2017,47
1059,2018,59
1059,2019,56
1059,2020,37
1059,2021,70
1059,2022,55
1059,2023,62
1059,2024,71
1060,2001,4
1060,2002,1
1060,2003,0
1060,2004,2
1060,2005,1
1060,2006,1
1060,2007,0
1060,2008,1
1060,2009,7
1060,2010,5
1060,2011,2
1060,2012,3
1060,2013,0
1060,2014,1
1060,2015,1
1060,2016,0
1060,2017,2
1060,2018,5
1060,2019,0
1060,2020,1
1060,2021,4
1060,2022,2
1060,2023,2
1060,2024,1
1061,2001,0
1061,2002,2
1061,2003,2
1061,2004,3
1061,2005,1
1061,2006,1
1061,2007,0
1061,2008,0
1061,2009,3
1061,2010,0
1061,2011,1
1061,2012,0
1061,2013,0
1061,2014,2
1061,2015,1
1061,2016,1
1061,2017,0
1061,2018,1
1061,2019,0
1061,2020,0
1061,2021,1
1061,2022,4
1061,2023,3
1061,2024,2
1062,2001,10
1062,2002,7
1062,2003,3
1062,2004,2
1062,2005,11
1062,2006,10
1062,2007,8
1062,2008,9
1062,2009,7
1062,2010,13
1062,2011,9
1062,2012,5
1062,2013,4
1062,2014,3
1062,2015,6
1062,2016,6
1062,2017,4
1062,2018,5
1062,2019,4
1062,2020,4
1062,2021,3
1062,2022,4
1062,2023,7
1062,2024,11
1063,2001,27
1063,2002,19
1063,2003,28
1063,2004,20
1063,2005,24
1063,2006,42
1063,2007,33
1063,2008,38
1063,2009,69
1063,2010,62
1063,2011,63
1063,2012,56
1063,2013,60
1063,2014,55
1063,2015,25
1063,2016,42
1063,2017,38
1063,2018,30
1063,2019,16
1063,2020,11
1063,2021,28
1063,2022,21
1063,2023,35
1063,2024,30
1064,2001,2
1064,2002,0
1064,2003,1
1064,2004,5
1064,2005,9
1064,2006,4
1064,2007,3
1064,2008,3
1064,2009,4
1064,2010,7
1064,2011,4
1064,2012,4
1064,2013,4
1064,2014,1
1064,2015,3
1064,2016,5
1064,2017,5
1064,2018,5
1064,2019,3
1064,2020,4
1064,2021,3
1064,2022,6
1064,2023,4
1064,2024,8
1065,2001,1
1065,2002,0
1065,2003,1
1065,2004,4
1065,2005,4
1065,2006,4
1065,2007,2
1065,2008,1
1065,2009,0
1065,2010,0
1065,2011,1
1065,2012,0
1065,2013,3
1065,2014,6
1065,2015,0
1065,2016,0
1065,2017,0
1065,2018,0
1065,2019,0
1065,2020,1
1065,2021,0
1065,2022,1
1065,2023,0
1065,2024,1
1066,2001,35
